,variety,ShiftStart,ShiftEnd,ShiftTime,BreakTime
0,Citra,2024-09-04 08:00:00,2024-09-04 15:30:00.000000,440.0,10.0
1,Citra,2024-09-04 15:30:00,2024-09-04 23:00:00.000000,440.0,10.0
2,Citra,2024-09-04 23:00:00,2024-09-05 06:30:00.000000,440.0,10.0
3,Citra,2024-09-05 06:30:00,2024-09-05 14:00:00.000000,440.0,10.0
4,Citra,2024-09-05 14:00:00,2024-09-05 21:30:00.000000,440.0,10.0
5,Citra,2024-09-05 21:30:00,2024-09-06 05:00:00.000000,440.0,10.0
6,Citra,2024-09-06 05:00:00,2024-09-06 12:30:00.000000,440.0,10.0
7,Citra,2024-09-06 12:30:00,2024-09-06 17:33:07.271986,293.121,10.0
8,Experimental,2024-10-03 08:00:00,2024-10-03 14:29:27.325998,379.455,10.0
9,HBC 1019,2024-09-17 08:00:00,2024-09-17 10:54:43.084397,174.718,0.0
10,HBC 522,2024-09-19 08:00:00,2024-09-19 15:30:00.000000,440.0,10.0
11,HBC 522,2024-09-19 15:30:00,2024-09-19 23:00:00.000000,440.0,10.0
12,HBC 522,2024-09-19 23:00:00,2024-09-19 23:30:23.868313,30.398,0.0
13,HBC 586,2024-10-01 08:00:00,2024-10-01 15:30:00.000000,440.0,10.0
14,HBC 586,2024-10-01 15:30:00,2024-10-01 23:00:00.000000,440.0,10.0
15,HBC 586,2024-10-01 23:00:00,2024-10-02 06:30:00.000000,440.0,10.0
16,HBC 586,2024-10-02 06:30:00,2024-10-02 10:55:08.434719,255.141,10.0
17,HBC 638,2024-09-30 08:00:00,2024-09-30 15:30:00.000000,440.0,10.0
18,HBC 638,2024-09-30 15:30:00,2024-09-30 17:32:50.288418,122.838,0.0
19,HBC 682,2024-09-25 08:00:00,2024-09-25 15:30:00.000000,440.0,10.0
20,HBC 682,2024-09-25 15:30:00,2024-09-25 23:00:00.000000,440.0,10.0
21,HBC 682,2024-09-25 23:00:00,2024-09-26 06:30:00.000000,440.0,10.0
22,HBC 682,2024-09-26 06:30:00,2024-09-26 14:00:00.000000,440.0,10.0
23,HBC 682,2024-09-26 14:00:00,2024-09-26 21:30:00.000000,440.0,10.0
24,HBC 682,2024-09-26 21:30:00,2024-09-27 05:00:00.000000,440.0,10.0
25,HBC 682,2024-09-27 05:00:00,2024-09-27 12:30:00.000000,440.0,10.0
26,HBC 682,2024-09-27 12:30:00,2024-09-27 20:00:00.000000,440.0,10.0
27,HBC 682,2024-09-27 20:00:00,2024-09-28 01:49:29.560701,339.493,10.0
28,Idaho 7,2024-09-20 08:00:00,2024-09-20 15:30:00.000000,440.0,10.0
29,Idaho 7,2024-09-20 15:30:00,2024-09-20 22:10:57.319588,390.955,10.0
30,Mosaic,2024-09-10 08:00:00,2024-09-10 15:30:00.000000,440.0,10.0
31,Mosaic,2024-09-10 15:30:00,2024-09-10 23:00:00.000000,440.0,10.0
32,Mosaic,2024-09-10 23:00:00,2024-09-11 06:30:00.000000,440.0,10.0
33,Mosaic,2024-09-11 06:30:00,2024-09-11 14:00:00.000000,440.0,10.0
34,Mosaic,2024-09-11 14:00:00,2024-09-11 21:30:00.000000,440.0,10.0
35,Mosaic,2024-09-11 21:30:00,2024-09-12 05:00:00.000000,440.0,10.0
36,Mosaic,2024-09-12 05:00:00,2024-09-12 12:30:00.000000,440.0,10.0
37,Mosaic,2024-09-12 12:30:00,2024-09-12 20:00:00.000000,440.0,10.0
38,Mosaic,2024-09-12 20:00:00,2024-09-13 03:30:00.000000,440.0,10.0
39,Mosaic,2024-09-13 03:30:00,2024-09-13 11:00:00.000000,440.0,10.0
40,Mosaic,2024-09-13 11:00:00,2024-09-13 18:30:00.000000,440.0,10.0
41,Mosaic,2024-09-13 18:30:00,2024-09-14 02:00:00.000000,440.0,10.0
42,Mosaic,2024-09-16 08:00:00,2024-09-16 15:30:00.000000,440.0,10.0
43,Mosaic,2024-09-16 15:30:00,2024-09-16 19:05:12.367937,215.206,0.0
44,Palisade,2024-09-18 08:00:00,2024-09-18 15:30:00.000000,440.0,10.0
45,Palisade,2024-09-18 15:30:00,2024-09-18 19:12:59.926038,222.999,0.0
46,Sabro,2024-09-09 08:00:00,2024-09-09 15:30:00.000000,440.0,10.0
47,Sabro,2024-09-09 15:30:00,2024-09-09 23:00:00.000000,440.0,10.0
48,Sabro,2024-09-09 23:00:00,2024-09-09 23:29:53.737941,29.896,0.0
49,Simcoe,2024-08-26 06:00:00,2024-08-26 13:30:00.000000,440.0,10.0
50,Simcoe,2024-08-26 13:30:00,2024-08-26 21:00:00.000000,440.0,10.0
51,Simcoe,2024-08-26 21:00:00,2024-08-27 04:30:00.000000,440.0,10.0
52,Simcoe,2024-08-27 04:30:00,2024-08-27 12:00:00.000000,440.0,10.0
53,Simcoe,2024-08-27 12:00:00,2024-08-27 19:30:00.000000,440.0,10.0
54,Simcoe,2024-08-27 19:30:00,2024-08-28 03:00:00.000000,440.0,10.0
55,Simcoe,2024-08-28 03:00:00,2024-08-28 10:30:00.000000,440.0,10.0
56,Simcoe,2024-08-28 10:30:00,2024-08-28 18:00:00.000000,440.0,10.0
57,Simcoe,2024-08-28 18:00:00,2024-08-29 01:30:00.000000,440.0,10.0
58,Simcoe,2024-08-29 01:30:00,2024-08-29 09:00:00.000000,440.0,10.0
59,Simcoe,2024-08-29 09:00:00,2024-08-29 16:30:00.000000,440.0,10.0
60,Simcoe,2024-08-29 16:30:00,2024-08-30 00:00:00.000000,440.0,10.0
61,Simcoe,2024-08-30 00:00:00,2024-08-30 07:30:00.000000,440.0,10.0
62,Simcoe,2024-08-30 07:30:00,2024-08-30 15:00:00.000000,440.0,10.0
63,Simcoe,2024-08-30 15:00:00,2024-08-30 22:30:00.000000,440.0,10.0
64,Simcoe,2024-08-30 22:30:00,2024-08-31 06:00:00.000000,440.0,10.0
65,Simcoe,2024-09-02 08:00:00,2024-09-02 15:30:00.000000,440.0,10.0
66,Simcoe,2024-09-02 15:30:00,2024-09-02 23:00:00.000000,440.0,10.0
67,Simcoe,2024-09-02 23:00:00,2024-09-03 06:30:00.000000,440.0,10.0
68,Simcoe,2024-09-03 06:30:00,2024-09-03 12:53:24.098782,373.402,10.0
69,Talus,2024-09-23 08:00:00,2024-09-23 15:30:00.000000,440.0,10.0
70,Talus,2024-09-23 15:30:00,2024-09-23 23:00:00.000000,440.0,10.0
71,Talus,2024-09-23 23:00:00,2024-09-24 00:25:13.784021,85.23,0.0
